Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00968092, 0.00429767, 0.00538145, 0.000115176, 2785, 47418, 4212
0.00708407, 0.00449464, 0.00258789, 0.000135093, 2699, 44618, 4617
0.00943316, 0.00539409, 0.00403642, 0.000146693, 2771, 45354, 4914
0.00744019, 0.00419608, 0.00324249, 0.000137861, 2650, 44186, 5184
0.00735851, 0.00447668, 0.00287953, 0.000149542, 2746, 44806, 5778
0.00705508, 0.0041933, 0.00286005, 0.000136651, 2695, 43011, 5049
0.0084739, 0.0052975, 0.0031736, 0.000145716, 2721, 45723, 5157
0.00935185, 0.00447957, 0.00486978, 0.00012596, 2678, 44301, 4158
0.0072815, 0.00437411, 0.00290574, 0.000150102, 2710, 43188, 6426
0.00671218, 0.0040616, 0.0026483, 0.000118865, 2731, 42985, 4185
0.00880647, 0.00505755, 0.00374635, 0.000114279, 2704, 43715, 4698
0.00662383, 0.00406989, 0.00255226, 0.000158502, 2732, 45982, 6939
0.00748538, 0.00473435, 0.00274908, 0.000130754, 2721, 46008, 4752
0.00853162, 0.0044646, 0.0040651, 0.000152522, 2720, 44647, 5697
0.013208, 0.0110686, 0.00213785, 0.000145838, 2683, 45479, 5292
0.00709669, 0.0044045, 0.0026899, 9.9565e-05, 2706, 45254, 3429
0.00714693, 0.00450857, 0.00263612, 0.000128115, 2661, 42926, 4725
0.00688129, 0.00376699, 0.00311249, 0.000120664, 2737, 42533, 4212
0.016326, 0.00604865, 0.0102747, 0.00014017, 2787, 46006, 4671
0.0116701, 0.00377159, 0.00789672, 0.000101152, 2736, 40893, 3672
0.00610431, 0.00389786, 0.00220463, 0.000100068, 2712, 41001, 3888
0.00612495, 0.0039899, 0.00213262, 0.000136575, 2787, 41851, 5292
0.0128518, 0.00855343, 0.0042961, 0.000119771, 2748, 44585, 4509
0.0101248, 0.00680347, 0.00331887, 0.000233604, 2798, 45494, 4374
0.00643601, 0.00405637, 0.00237788, 0.000148934, 2790, 46231, 5562
0.00884716, 0.00543853, 0.00340702, 0.000309259, 2730, 46037, 4671
0.00759413, 0.00464122, 0.00295086, 0.000123083, 2773, 45940, 4860
0.00825791, 0.00486751, 0.00338832, 0.00015633, 2705, 45294, 5724
0.00765355, 0.00546395, 0.00218697, 0.000106614, 2741, 45296, 4077
0.00656503, 0.00418877, 0.00237402, 0.000137797, 2722, 45538, 5859
0.00784487, 0.00410711, 0.00373579, 0.000136698, 2703, 43029, 4698
0.00692942, 0.00420667, 0.00272095, 0.000119421, 2681, 44067, 4374
0.0112504, 0.0070867, 0.00416133, 0.000119112, 2763, 45197, 4536
0.0073349, 0.00484919, 0.00248336, 0.000136421, 2659, 41795, 4806
0.0138516, 0.00562743, 0.00822138, 0.000142082, 2725, 41015, 4995
0.0112172, 0.00612366, 0.00509179, 0.000118847, 2749, 43034, 4158
0.00723495, 0.00521049, 0.0020226, 0.000115403, 2762, 43120, 4563
0.0080293, 0.004173, 0.00385369, 0.000117994, 2758, 45002, 4698
0.00709742, 0.00481481, 0.00227996, 0.000121928, 2780, 45589, 4644
0.0106359, 0.0080191, 0.00261451, 0.000112245, 2720, 42871, 4347
0.00705672, 0.00432077, 0.00273442, 0.000112202, 2748, 43898, 4482
0.0104907, 0.00706554, 0.00342272, 0.00101778, 2723, 45481, 3861
0.0178723, 0.00403746, 0.0138329, 0.000159535, 2604, 41509, 6075
0.0127104, 0.0107368, 0.00197169, 0.00012208, 2692, 42687, 4995
0.00684446, 0.00428256, 0.00256026, 0.000124086, 2673, 44414, 4995
0.0201101, 0.00618322, 0.0139244, 0.000138214, 2722, 45022, 4968
0.0116266, 0.00590782, 0.00571633, 0.000132817, 2747, 44924, 4995
0.0100859, 0.00630944, 0.00377442, 0.00110831, 2776, 46432, 4482
0.00828885, 0.00516029, 0.00312647, 0.000136727, 2793, 45633, 4860
0.0113789, 0.00554014, 0.0058363, 0.000118583, 2783, 45551, 4374
0.00708487, 0.0043885, 0.00269445, 0.000125182, 2766, 47001, 5022
0.00847215, 0.00478896, 0.00368103, 0.000130314, 2726, 46858, 4725
0.00887118, 0.00615266, 0.00271619, 0.000108876, 2735, 45651, 3996
0.0121247, 0.00804246, 0.00408015, 0.00105005, 2650, 44607, 3996
0.00986408, 0.00448132, 0.00538029, 0.000922367, 2747, 45331, 4887
0.0082827, 0.00606856, 0.0022117, 9.2661e-05, 2690, 43904, 3726
0.0157231, 0.0130019, 0.00271903, 0.00011653, 2707, 44190, 4266
0.0100069, 0.00541911, 0.00458659, 0.00014194, 2675, 44236, 5427
0.0180137, 0.0144146, 0.00359702, 0.000451541, 2742, 43332, 5022
0.0115519, 0.00440582, 0.00714453, 0.000110007, 2738, 42061, 4536
0.00725687, 0.00437898, 0.00287618, 0.000145947, 2756, 44846, 4563
0.0156977, 0.0121507, 0.00354535, 0.000284868, 2741, 45584, 4590
0.00795411, 0.00532715, 0.00262499, 0.00012805, 2676, 44854, 4725
0.00976586, 0.00689076, 0.00287237, 0.000104097, 2727, 44488, 3942
0.00642716, 0.00430645, 0.00211836, 0.000133577, 2701, 46131, 5022
0.012419, 0.00610917, 0.00630776, 0.000116442, 2717, 45124, 4023
0.00691955, 0.00365462, 0.00326358, 0.000129488, 2686, 43285, 5346
0.0107275, 0.00887967, 0.00184559, 9.8117e-05, 2715, 43224, 3915
0.00727171, 0.0047865, 0.00248352, 0.000112028, 2776, 45307, 3969
0.00721628, 0.00465177, 0.00256269, 0.000143261, 2786, 41586, 4563
0.00863413, 0.00577565, 0.00285685, 9.9483e-05, 2747, 40868, 3402
0.0171515, 0.0134699, 0.00367978, 0.000138979, 2795, 42793, 5022
0.00977726, 0.0075672, 0.00220796, 0.000113745, 2750, 44827, 4428
0.0162627, 0.0141893, 0.00207082, 0.000108617, 2771, 44300, 4104
0.00633661, 0.00405769, 0.00227711, 0.000113398, 2797, 44260, 4482
0.0072807, 0.00465177, 0.00262664, 0.000116655, 2742, 45834, 3996
0.00712103, 0.00482951, 0.00228941, 0.000144981, 2816, 46155, 5508
0.0304373, 0.0103078, 0.0201279, 0.000123755, 2731, 45855, 4347
0.0113738, 0.00754378, 0.0038278, 0.000121431, 2787, 46133, 4806
0.00918373, 0.00444116, 0.00474097, 0.000125728, 2761, 45523, 5103
0.0121262, 0.00625009, 0.0058737, 0.000107132, 2743, 43759, 4104
0.0100949, 0.004526, 0.00556622, 0.000142233, 2705, 45137, 5130
0.00947589, 0.00416225, 0.00531193, 0.000122438, 2746, 45489, 4860
0.00787977, 0.00523415, 0.00264366, 0.000107719, 2692, 44709, 3834
0.00924387, 0.00621366, 0.00302797, 0.000115591, 2771, 41012, 4239
0.00806579, 0.00424043, 0.00382421, 0.00010746, 2767, 43008, 3942
0.0116415, 0.0044035, 0.00723605, 0.000132445, 2738, 42187, 4860
0.00901627, 0.00642999, 0.00258387, 0.00011357, 2772, 45041, 3780
0.00832322, 0.00534776, 0.00297354, 0.000150562, 2778, 44978, 3537
0.00839273, 0.00572892, 0.00266239, 0.000154016, 2767, 44405, 4455
0.00907758, 0.00590513, 0.00317075, 0.000119882, 2774, 44601, 4347
0.0160297, 0.00667379, 0.00935385, 0.000118812, 2743, 45149, 4320
0.00754829, 0.00468938, 0.00285677, 0.000138729, 2622, 42913, 5454
0.0189944, 0.0132229, 0.00576931, 0.000129809, 2774, 43688, 5238
0.0165801, 0.00912049, 0.00745724, 0.000133161, 2672, 43424, 5535
0.0102859, 0.00750489, 0.0027796, 0.000116999, 2746, 45715, 4428
0.00786706, 0.00431003, 0.00355475, 0.000104692, 2728, 45065, 4320
0.0129217, 0.00952365, 0.00339554, 0.000116436, 2762, 46190, 4455
0.00789734, 0.00569194, 0.00220316, 0.000109773, 2777, 44124, 4104
0.0100161, 0.00632607, 0.00368859, 0.00012638, 2739, 46126, 3996
0.00708105, 0.00472431, 0.00235448, 0.000124321, 2795, 46511, 4563
0.0178714, 0.0138421, 0.00402674, 0.000140104, 2718, 44981, 5130
0.00983157, 0.00497703, 0.00485232, 0.000147581, 2781, 45883, 4536
0.0128613, 0.009261, 0.00359847, 0.000123979, 2691, 46346, 4698
0.00957599, 0.00534892, 0.00422441, 0.000134201, 2792, 46015, 4698
0.0099005, 0.00589798, 0.00400107, 0.000151752, 2725, 44242, 4104
0.00834073, 0.00548638, 0.00285196, 0.000104772, 2776, 44790, 3807
0.0169562, 0.0136911, 0.00326252, 0.000113787, 2715, 45262, 4104
0.0131736, 0.0103885, 0.00278321, 0.000162308, 2706, 46172, 4887
0.00899229, 0.00659473, 0.0023952, 0.000106019, 2757, 42870, 4077
0.00709379, 0.00428264, 0.00280877, 0.000129877, 2705, 45006, 4833
0.00748785, 0.00500519, 0.00248103, 0.000128747, 2715, 44311, 4914
0.00821827, 0.00451333, 0.00370311, 0.000123107, 2713, 45063, 4239
0.0163983, 0.00994481, 0.00645144, 0.000127131, 2753, 44799, 4131
0.0321875, 0.0104374, 0.0217485, 0.000123451, 2722, 46234, 4779
0.0188922, 0.0120375, 0.00685237, 9.8085e-05, 2734, 44326, 3888
0.00959966, 0.00595042, 0.00364655, 0.00017691, 2675, 43556, 4401
0.0201708, 0.0116452, 0.00852352, 0.000134387, 2771, 46755, 4104
0.00912957, 0.0051286, 0.00399831, 0.000125343, 2689, 44019, 4185
0.022015, 0.0126752, 0.00933812, 0.000926565, 2784, 40694, 3456
0.00809549, 0.00563575, 0.00245775, 0.000339178, 2738, 42870, 3861
0.00664981, 0.00452033, 0.00212635, 0.000116929, 2784, 42408, 4617
0.00604694, 0.00405634, 0.00198847, 0.000104017, 2745, 43753, 4158
0.0144981, 0.0120835, 0.00241266, 0.000100622, 2796, 44671, 3753
0.010731, 0.00633449, 0.00439488, 0.000108249, 2760, 44972, 4212
0.0161852, 0.00858475, 0.00759745, 0.000128868, 2735, 45843, 4131
0.0183441, 0.0110824, 0.00725938, 0.00243538, 2800, 46375, 4590
0.00718013, 0.00498477, 0.0021931, 0.000103125, 2723, 45522, 3861
0.0102398, 0.0042677, 0.00597021, 9.8587e-05, 2808, 45437, 3780
0.028108, 0.0158229, 0.0122831, 0.000112346, 2696, 44326, 3753
0.014761, 0.00624738, 0.00851147, 0.000132293, 2781, 45617, 4320
0.0125758, 0.00960426, 0.0029697, 0.00014112, 2720, 43980, 5157
0.0177744, 0.0108529, 0.00691883, 0.0001404, 2756, 44903, 4428
0.015978, 0.00998739, 0.00598857, 0.0001134, 2730, 46066, 3888
0.010794, 0.00785131, 0.00294054, 0.000102488, 2720, 40832, 3834
